NO,ê\çûîNåéì˙,ê\çûéûä‘,Åyî}ëÃÉRÅ[ÉhÅzëÂçÄñ⁄,Åyî}ëÃÉRÅ[ÉhÅzè⁄ç◊çÄñ⁄,éÛïtéûä‘ë—ãÊï™,éÛïtå`ë‘ãÊï™,êVãKéûé©ìÆå_ñÒã@ìXî‘,éÊàµìXî‘,ä«óùìXî‘,ê´ï ,îNóÓ,ê∂îNåéì˙,ÇiÇhÇrèZèäÉRÅ[Éh,ì∆ä˘ãÊï™,êVêEéÌãÊï™,ÅyêVêEéÌãÊï™ÅzëÂçÄñ⁄,ÅyêVêEéÌãÊï™Åzè⁄ç◊çÄñ⁄,åŸópå`ë‘ãÊï™,èAã∆å`ë‘ãÊï™,âÔé–ãKñÕãÊï™,çáåvîNé˚,ç›é–åéêî,èZãèãÊï™,ãèèZåéêî,â∆í¿ïâíSäz,â∆ë∞ç\ê¨ãÊï™,ï€åØêEéÌãÊï™,é˚ì¸èÿñæóLñ≥,ì∆êgì‡ñÛ,ìØãèãÊï™,ï}ó{â∆ë∞êî,ï}ó{â∆ë∞éqãüêî,èäìæèÿñæãÊï™,ñºã`ãÊï™,éñã∆å`ë‘ãÊï™,éñã∆èäóLñ≥,ë›ïtîNåéì˙,ÇPÇQÉñåééñåÃ
1000013,2015/4/27,161144,5,99,0,1,3152,3152,5,2,40,1975/3/26,46201,2,629,6,629,4,1,6,1300000,119,4,7,0,1,3,0,0,1,1,0,0,0,0,0,2015/4/27,0
1000014,2015/4/27,155342,5,99,0,0,5,5,5,1,24,1991/2/27,46201,1,515,5,515,2,1,7,4000000,48,4,12,50000,5,1,1,1,2,0,0,1,0,0,0,2015/4/28,1
1000016,2015/5/6,145825,5,99,3,101,5,5,5,1,49,1965/8/29,46201,1,640,6,640,4,1,4,1250000,1,4,147,35000,5,3,0,0,2,0,0,0,0,0,0,2015/5/8,0
1000017,2015/5/7,112205,3,9,0,1701,0,5,5,1,34,1981/4/1,46224,2,423,4,423,1,1,9,4000000,1,8,143,0,3,4,0,0,1,6,3,0,3,9,0,2015/5/9,0
1000018,2015/5/8,95926,3,9,0,1701,0,5,5,2,31,1983/9/11,46218,2,240,2,240,2,1,4,2500000,0,1,305,0,2,1,0,0,1,3,2,0,2,0,0,2015/5/8,1
1000019,2015/5/8,134605,5,99,0,1,2852,2852,5,2,49,1965/7/17,45206,1,540,5,540,4,1,9,850000,28,8,373,0,4,3,0,0,1,0,0,0,3,0,0,2015/5/8,0
1000020,2015/5/11,95651,3,2,0,1701,383,383,5,1,20,1994/10/15,46492,1,440,4,440,2,1,3,2500000,25,8,247,0,4,1,0,0,1,0,0,0,3,0,0,2015/5/11,1
1000022,2015/5/12,133955,1,99,0,1,3191,3191,5,1,20,1995/4/5,46201,1,640,6,640,5,2,5,2000000,1,4,43,0,4,3,0,0,1,0,0,0,0,0,0,2015/5/12,1
1000024,2015/5/17,160528,5,99,3,1,5,5,5,2,28,1986/7/21,46201,1,640,6,640,2,1,3,2040000,1,7,118,15000,5,1,0,0,2,0,0,0,0,0,0,2015/5/17,0
1000025,2015/5/18,134355,5,99,0,1,383,383,5,1,22,1993/1/12,46214,1,640,6,640,4,1,6,1800000,40,4,21,1000,4,3,0,0,1,0,0,0,0,0,0,2015/5/19,0
1000026,2015/5/19,120721,5,99,0,1,1080,1080,5,2,55,1959/9/18,45201,1,840,8,840,2,1,4,1800000,65,5,123,17000,4,1,0,0,1,3,3,0,0,0,0,2015/5/19,0
1000028,2015/5/18,121417,4,99,0,1701,0,5,5,2,25,1990/4/30,45405,2,340,3,340,2,1,6,2300000,7,4,1,55000,1,1,0,0,1,1,0,0,0,0,0,2015/5/20,0
1000030,2015/5/19,172739,1,99,0,1801,0,5,5,1,53,1961/7/22,45201,2,640,6,640,4,1,5,2650000,11,2,72,47000,3,3,0,0,1,5,3,0,1,0,0,2015/5/21,0
1000031,2015/5/19,215148,4,99,0,1801,1415,1415,5,1,35,1979/6/4,46221,2,640,6,640,2,1,4,2600000,30,4,1,20000,3,1,0,0,2,4,2,0,0,0,0,2015/5/23,0
1000032,2015/5/21,205934,5,99,0,1,1415,1415,5,2,57,1957/9/7,45207,2,840,8,840,2,1,4,2000000,6,8,410,0,2,1,0,0,1,3,2,0,3,0,0,2015/5/21,0
1000033,2015/5/23,130424,1,99,1,600,3173,3173,5,1,33,1982/4/28,45206,1,640,6,640,2,1,3,3000000,29,9,7,20000,4,1,0,0,1,4,3,0,3,0,0,2015/5/23,0
1000035,2015/5/25,153902,5,99,0,1,961,961,5,1,35,1980/1/11,46208,2,540,5,540,2,1,3,2600000,91,1,120,0,1,1,0,0,1,1,0,0,1,0,0,2015/5/25,0
1000036,2015/5/25,120611,3,2,0,1801,3152,3152,5,1,48,1966/12/9,46201,2,540,5,540,4,1,7,1500000,60,4,61,25000,2,3,0,0,2,3,1,0,0,0,0,2015/5/25,0
1000037,2015/5/20,151851,1,99,0,1801,3164,3164,5,1,24,1991/2/3,45202,1,840,8,840,2,1,6,2200000,13,7,1,25000,5,1,0,0,2,0,0,0,0,0,0,2015/5/25,1
1000038,2015/5/25,203321,5,99,0,1,3191,3191,5,1,56,1959/5/13,46201,1,640,6,640,5,2,4,1800000,4,4,56,54000,5,3,0,0,2,0,0,0,0,0,0,2015/5/26,0
1000041,2015/5/31,133025,5,99,3,1,3136,3136,5,1,42,1972/7/12,46213,1,640,6,640,5,1,6,2100000,5,8,221,0,4,1,0,0,1,0,0,0,3,0,0,2015/6/1,0
1000042,2015/6/2,170555,3,9,0,502,2891,2891,5,2,50,1965/4/9,45201,1,840,8,840,2,1,6,2000000,12,4,21,46000,5,1,0,0,2,0,0,0,0,0,0,2015/6/2,1
1000043,2015/6/2,201213,5,99,0,1,3173,3173,5,1,20,1995/6/2,45203,2,401,4,401,2,1,8,1800000,19,5,240,0,2,3,0,0,1,2,1,0,0,0,0,2015/6/2,0
1000044,2015/6/4,170440,1,99,0,1,1080,1080,5,1,61,1954/2/21,45201,1,640,6,640,4,1,6,840000,1,1,27,0,5,3,0,0,2,0,0,0,1,0,0,2015/6/8,0
1000045,2015/6/4,154917,1,99,0,101,3152,3152,5,2,26,1988/12/27,46201,2,640,6,640,4,1,6,900000,21,4,50,40000,2,3,0,0,1,2,1,0,0,0,0,2015/6/20,0
1000046,2015/6/4,171739,5,99,0,101,1640,1640,5,2,44,1971/5/28,45201,2,140,1,140,4,1,2,1060000,1,4,19,1000,1,3,0,0,1,1,0,0,0,0,0,2015/6/5,0
1000049,2015/6/8,100522,3,27,0,1801,961,961,5,2,59,1955/10/15,46208,1,525,5,525,2,1,7,2640000,386,1,398,0,4,3,0,0,1,1,0,0,2,0,0,2015/6/8,0
1000051,2015/6/10,131725,4,99,0,1801,2548,2548,5,1,39,1976/4/11,45208,2,740,7,740,2,1,4,4000000,141,5,153,30000,3,1,0,0,1,4,2,0,0,0,0,2015/6/11,0
1000052,2015/6/13,160657,5,99,1,1,2548,2548,5,1,33,1982/1/16,45201,2,640,6,640,2,1,7,4000000,5,4,45,62000,1,1,0,0,1,1,0,0,0,0,0,2015/6/13,0
1000053,2015/6/20,145546,1,99,1,101,2852,2852,5,1,21,1993/7/24,45203,2,640,6,640,2,1,4,1800000,6,9,11,1000,2,1,0,0,1,2,1,0,3,0,0,2015/6/20,0
1000055,2015/6/21,90401,3,9,3,1801,0,4182,5,1,21,1994/8/5,46210,1,540,5,540,4,1,6,2000000,20,4,101,30000,4,1,0,0,1,0,0,0,0,0,0,2016/1/29,0
1000056,2015/6/25,160051,5,99,0,1,1414,1414,5,2,46,1968/10/23,46201,1,140,1,140,5,2,3,1342000,29,4,13,45000,5,3,1,0,2,0,0,2,0,0,0,2015/6/25,1
1000057,2015/7/2,93508,5,99,0,1,1080,1080,5,2,68,1947/1/10,45201,1,617,6,617,2,1,4,1724000,1,8,176,0,5,3,0,0,2,0,0,0,3,0,0,2015/7/4,0
1000058,2015/7/1,152548,1,99,0,1701,0,5,5,1,20,1994/12/6,46203,1,423,4,423,2,1,3,3500000,27,7,28,5000,5,1,0,0,2,0,0,0,0,0,0,2015/7/3,1
1000059,2015/7/6,132342,5,99,0,1,5,5,5,2,43,1972/4/3,46201,1,640,6,640,4,1,7,1200000,8,4,8,0,4,1,0,0,1,0,0,0,0,0,0,2015/7/6,0
1000061,2015/7/10,94039,5,99,0,1,1265,1265,5,1,41,1974/5/28,45202,2,740,7,740,2,1,6,2500000,25,4,21,43000,2,1,0,0,1,2,1,0,0,0,0,2015/7/10,0
1000062,2015/7/11,194035,1,99,1,1,3164,3164,5,1,21,1993/9/17,45202,2,525,5,525,2,1,8,2400000,37,4,11,40000,2,3,0,0,1,2,1,0,0,0,0,2015/7/11,1
1000064,2015/7/19,215641,3,18,3,502,0,5,5,1,20,1995/7/15,45201,1,423,4,423,2,1,8,1400000,16,8,241,0,4,3,0,0,1,0,0,0,3,0,0,2015/8/20,0
1000065,2015/7/21,203530,5,99,0,1,1641,1641,5,2,61,1953/8/1,46210,2,640,6,640,4,1,6,750000,62,8,447,0,1,3,0,0,1,1,0,0,3,0,0,2015/7/21,0
1000067,2015/7/27,74517,1,99,0,502,0,5,5,1,31,1984/7/3,46201,1,209,2,209,2,1,6,1500000,15,8,372,0,4,3,0,0,1,0,0,0,3,0,0,2015/7/30,0
1000068,2015/7/27,182727,1,99,0,101,2548,2548,5,1,21,1994/2/7,45201,1,640,6,640,4,1,4,1300000,7,8,258,0,4,3,0,0,1,0,0,0,3,0,0,2015/8/1,0
1000070,2015/7/31,141409,5,99,0,1,3164,3164,5,1,44,1971/2/17,45202,1,540,5,540,4,1,2,2000000,60,2,12,1000,4,1,0,0,1,0,0,0,2,0,0,2015/7/31,0
1000071,2015/7/30,200128,3,24,0,1801,0,4190,5,2,29,1985/8/8,46468,1,640,6,640,4,1,7,1360000,2,4,16,30000,4,3,0,0,1,4,4,0,0,0,0,2015/8/1,1
1000072,2015/8/2,101448,5,99,3,1,383,383,5,1,20,1995/5/15,46203,1,640,6,640,2,1,5,1300000,16,4,77,0,4,1,0,0,1,0,0,0,0,0,0,2015/8/2,0
1000073,2015/8/4,225125,1,99,0,1801,0,5,5,1,33,1982/6/25,45201,2,140,1,140,2,1,6,3338000,148,8,398,0,3,1,0,0,1,6,4,0,3,0,0,2015/8/6,0
1000074,2015/8/7,145446,5,99,0,1,383,383,5,1,44,1971/6/14,46221,1,440,4,440,2,1,8,2880000,79,4,7,25000,5,1,0,0,2,0,0,0,0,0,0,2015/8/10,0
1000076,2015/8/12,215124,3,8,0,1701,0,5,5,2,28,1986/8/15,46527,2,1340,13,1340,4,1,7,1100000,1,9,13,20000,3,3,0,0,1,5,3,0,3,0,0,2015/8/18,0
1000077,2015/8/15,163406,5,99,1,1,1641,1641,5,2,36,1978/11/12,46210,2,1304,13,1304,4,1,6,1300000,32,7,37,0,2,3,0,0,1,3,2,0,0,0,0,2015/8/15,0
1000079,2015/8/21,103205,5,99,0,0,0,5,5,1,59,1955/9/6,46210,1,640,6,640,3,1,6,2250000,60,8,359,0,5,1,0,1,2,0,0,0,3,0,0,2015/8/21,0
1000080,2015/8/14,212935,3,33,0,502,0,5,5,2,25,1990/5/22,46201,1,540,5,540,4,1,3,1560000,0,4,137,35000,4,3,0,0,1,1,1,0,0,0,0,2015/8/27,0
1000081,2015/8/21,170052,3,15,0,1801,0,5,5,1,23,1992/2/7,45206,1,640,6,640,2,2,3,2600000,17,7,3,0,5,1,0,0,2,0,0,0,0,0,0,2015/8/22,0
1000082,2015/8/23,93245,5,99,3,1,2891,2891,5,2,39,1976/2/11,45201,2,440,4,440,4,1,7,1800000,66,4,1,0,1,3,0,0,1,1,0,0,0,0,0,2015/8/31,0
1000083,2015/8/24,163958,1,99,0,1801,0,5,5,1,26,1989/8/10,46201,1,540,5,540,4,1,4,1680000,6,4,72,33000,5,1,0,0,2,0,0,0,0,0,0,2015/8/25,0
1000084,2015/8/28,114917,3,2,0,502,0,5,5,1,24,1991/8/15,45201,1,1140,11,1140,3,1,7,1500000,4,4,16,26000,5,1,0,0,2,0,0,0,0,0,0,2015/8/31,0
1000085,2015/8/30,162603,1,99,3,1801,0,5,5,2,25,1990/8/23,46225,2,940,9,940,2,1,4,2250000,52,4,52,40000,2,1,0,0,1,2,0,0,0,0,0,2015/8/30,0
1000086,2015/8/30,184530,1,99,3,1701,0,5,5,1,34,1980/10/18,45205,2,640,6,640,2,1,7,2040000,3,4,10,61000,3,1,0,0,1,5,2,0,0,0,0,2015/8/31,0
1000087,2015/8/31,90211,2,3,0,1801,0,5,5,1,27,1987/10/26,45208,1,1340,13,1340,4,1,8,1440000,15,4,17,35000,5,3,0,0,2,0,0,0,0,0,0,2015/8/31,1
1000088,2015/8/31,120023,1,99,0,101,384,384,5,1,41,1974/6/23,46218,1,1340,13,1340,2,1,6,3165000,260,9,278,1000,4,1,1,0,1,0,0,4,3,0,0,2015/8/31,0
1000089,2015/9/1,160750,5,99,0,101,383,383,5,1,31,1984/1/25,46203,1,640,6,640,2,1,6,2000000,38,4,28,35000,5,1,0,0,2,0,0,0,0,0,0,2015/9/1,0
1000090,2015/9/1,140117,3,18,0,1701,1265,1265,5,1,27,1988/3/27,45205,1,640,6,640,2,1,4,2800000,25,4,42,0,5,1,0,0,2,1,1,0,0,0,0,2015/9/1,1
1000091,2015/9/4,152208,3,2,0,1801,0,5,5,2,29,1986/3/27,46201,2,840,8,840,4,1,5,1037000,21,4,25,0,1,1,1,0,1,1,0,1,0,0,0,2015/9/8,0
1000092,2015/9/7,190417,1,99,0,1701,1414,1414,5,1,37,1978/8/17,46201,2,640,6,640,2,1,6,3000000,137,4,14,50000,2,1,0,0,1,3,1,0,0,0,0,2015/9/7,0
1000093,2015/9/8,113917,1,99,0,1701,0,4182,5,1,29,1986/7/31,46201,2,540,5,540,2,1,4,1800000,6,4,4,0,1,1,0,0,2,1,0,0,0,0,0,2015/10/9,0
1000094,2015/9/9,171955,4,2,0,502,0,5,5,1,28,1987/2/7,46201,1,240,2,240,2,1,7,4100000,68,8,343,0,4,1,0,0,1,0,0,0,3,0,0,2015/9/10,1
1000095,2015/9/10,184145,5,99,0,1,384,384,5,1,50,1965/3/28,46203,1,1140,11,1140,2,2,7,3600000,0,8,266,0,5,1,0,0,2,0,0,0,3,0,0,2015/9/10,0
1000096,2015/9/12,191432,5,99,1,1,1641,1641,5,2,28,1987/3/10,46210,1,540,5,540,2,1,5,1400000,6,4,6,43000,5,1,0,0,2,0,0,0,0,0,0,2015/9/12,0
1000098,2015/9/14,151800,3,15,0,1801,0,5,5,1,24,1991/5/16,45208,1,840,8,840,2,1,3,2500000,17,4,125,0,4,1,0,0,1,0,0,0,0,0,0,2015/9/18,0
1000099,2015/9/15,144905,4,99,0,1801,1333,1333,5,1,38,1977/5/3,46225,1,423,4,423,2,1,7,4000000,13,4,13,30000,5,3,0,0,2,0,0,0,0,0,0,2015/9/16,1
1000101,2015/9/18,3048,2,24,0,1701,383,383,5,1,20,1995/9/14,46214,1,640,6,640,2,1,3,1760000,17,4,17,19000,5,1,0,0,2,0,0,0,0,0,0,2015/9/18,0
1000102,2015/9/24,151002,3,9,0,1801,0,5,5,1,21,1994/3/13,46203,1,540,5,540,4,1,7,1200000,69,5,261,0,4,3,0,0,1,0,0,0,0,0,0,2015/12/14,0
1000103,2015/9/27,171359,1,99,3,101,961,961,5,1,26,1989/6/13,46208,1,640,6,640,2,1,7,2000000,8,9,14,1000,4,1,0,0,1,0,0,0,3,0,0,2015/9/28,0
1000104,2015/9/27,150358,1,99,3,502,0,5,5,1,28,1987/2/17,46201,1,240,2,240,2,1,7,4190000,68,1,343,0,4,1,0,0,1,0,0,0,2,0,0,2015/9/29,1
1000106,2015/9/29,135043,3,22,0,502,3191,3191,5,1,51,1963/12/14,46223,1,423,4,423,1,1,8,4400000,197,8,621,0,4,4,0,0,1,0,0,0,3,9,0,2015/9/29,1
1000107,2015/10/4,200556,4,99,3,1801,0,5,5,1,21,1994/8/9,46222,1,631,6,631,2,1,7,3600000,42,8,129,0,4,3,0,0,1,0,0,0,3,0,0,2015/10/5,1
1000108,2015/10/5,160906,3,9,0,1701,0,5,5,1,21,1994/4/6,45406,2,640,6,640,2,1,5,2400000,42,5,220,0,2,1,0,0,1,3,1,0,0,0,0,2015/10/8,1
1000109,2015/10/10,110615,1,99,1,1701,1080,1080,5,2,22,1993/3/22,45201,1,1540,15,1540,4,1,4,4000000,46,8,271,0,4,3,0,0,1,0,0,0,3,0,0,2015/10/11,0
1000111,2015/10/12,163829,1,99,3,101,5,5,5,1,29,1986/9/18,46201,1,240,2,240,2,1,4,4500000,37,4,0,72000,5,1,0,0,2,0,0,0,0,0,0,2015/10/12,0
1000112,2015/10/14,114336,4,99,0,1801,0,5,5,2,28,1986/11/26,46532,1,1340,13,1340,4,1,5,1500000,26,2,85,1000,4,3,0,0,0,0,0,0,0,0,0,2015/10/15,0
1000113,2015/10/14,172551,1,99,0,502,0,5,5,1,30,1985/8/17,46222,1,540,5,540,2,1,7,3720000,56,8,270,0,4,1,0,0,1,0,0,0,3,0,0,2015/10/15,1
1000114,2015/10/17,212927,1,99,1,1701,0,5,5,1,27,1987/12/19,45201,1,440,4,440,2,1,7,2500000,78,4,30,40000,5,1,0,0,0,0,0,0,0,0,0,2015/10/19,0
1000115,2015/10/18,180234,5,99,3,1,3173,3173,5,1,26,1989/6/5,45206,1,630,6,630,2,1,8,2000000,0,4,10,50000,5,3,0,0,2,0,0,0,0,0,0,2015/10/19,1
1000116,2015/10/20,114324,3,2,0,502,5,5,5,1,26,1989/10/11,46201,1,540,5,540,4,1,5,2500000,0,4,30,35000,5,3,0,0,2,0,0,0,0,0,0,2015/10/20,0
1000117,2015/10/25,112628,5,99,3,1,2891,2891,5,1,50,1965/2/7,45201,1,630,6,630,2,1,7,2500000,17,4,4,1000,5,3,0,0,2,0,0,0,0,0,0,2015/10/25,1
1000118,2015/10/25,204700,5,99,3,1,1640,1640,5,2,22,1993/3/2,45201,1,620,6,620,4,1,4,900000,3,4,106,0,4,3,0,0,1,0,0,0,0,0,0,2015/10/25,0
1000119,2015/10/30,185535,5,99,0,101,2548,2548,5,1,23,1992/7/7,45401,1,640,6,640,2,1,5,2000000,25,4,4,1000,4,1,0,0,1,0,0,0,0,0,0,2015/10/30,0
1000120,2015/11/5,123844,5,99,0,101,5,5,5,1,46,1969/10/21,46201,1,640,6,640,4,1,6,1200000,30,4,83,1000,4,3,0,0,1,0,0,0,0,0,0,2015/11/5,0
1000121,2015/11/7,202104,5,99,1,1,552,552,5,2,27,1988/3/3,45209,1,640,6,640,2,1,7,1000000,115,8,319,0,4,1,0,0,1,0,0,0,3,0,0,2015/11/7,0
1000122,2015/11/8,201951,5,99,3,1,1414,1414,5,2,39,1976/10/27,46201,1,640,6,640,2,1,4,2360000,86,4,74,46000,5,1,0,0,2,0,0,0,0,0,0,2015/11/8,1
1000123,2015/11/9,85010,5,99,0,1,1265,1265,5,1,23,1991/11/17,45202,1,630,6,630,2,1,7,2400000,24,8,233,0,4,3,0,0,1,0,0,0,3,0,0,2015/11/9,0
1000124,2015/11/10,173741,1,99,0,1701,1414,1414,5,1,22,1993/10/26,46203,1,540,5,540,4,1,8,1000000,42,8,87,0,4,3,0,0,1,0,0,0,3,0,0,2015/11/10,0
1000125,2015/11/10,131125,3,15,0,1701,0,5,5,2,38,1977/5/1,45206,2,540,5,540,4,1,8,770000,12,4,12,15000,2,3,1,0,1,3,1,2,0,0,0,2015/11/11,0
1000126,2015/11/11,90740,5,99,0,1,384,384,5,1,27,1988/5/13,46212,1,1503,15,1503,4,1,8,1800000,66,4,85,0,4,1,0,0,1,0,0,0,0,0,0,2015/11/11,0
1000127,2015/11/6,130201,1,99,0,101,3136,3136,5,2,49,1966/1/9,46201,2,840,8,840,2,1,4,3500000,7,4,7,45000,1,1,0,0,1,1,0,0,0,0,0,2015/11/12,0
1000128,2015/11/11,234430,3,9,0,1701,1080,1080,5,1,20,1995/10/27,45201,1,1340,13,1340,4,1,3,900000,11,8,49,0,4,3,0,0,1,0,0,0,3,0,0,2015/11/12,0
1000129,2015/11/13,110450,1,99,0,101,1333,1333,5,2,67,1948/9/2,46225,2,640,6,640,4,1,5,1448000,41,5,119,18000,1,3,0,0,2,1,0,0,0,0,0,2015/11/16,0
1000130,2015/11/17,133616,5,99,0,1,1333,1333,5,2,27,1988/7/26,46225,1,840,8,840,2,1,2,2620000,9,4,135,0,4,1,0,0,1,1,1,0,0,0,0,2015/11/17,0
1000132,2015/11/17,164944,5,99,0,1,3164,3164,5,2,58,1957/1/1,45202,1,640,6,640,2,1,4,1710000,32,4,146,0,5,1,0,0,2,0,0,0,0,0,0,2015/11/17,0
1000134,2015/11/23,154717,1,99,3,1,3152,3152,5,1,23,1992/5/6,46201,1,640,6,640,4,1,7,840000,39,8,154,0,4,3,0,0,1,0,0,0,3,0,0,2015/11/27,0
1000135,2015/11/20,5704,4,99,0,1801,0,5,5,1,22,1992/12/11,46201,1,1540,15,1540,4,1,6,300000,7,5,86,0,4,3,0,0,1,0,0,0,0,0,0,2015/11/25,1
1000136,2015/11/29,120548,5,99,3,1,1414,1414,5,1,50,1964/12/12,46201,1,640,6,640,4,1,7,2160000,8,4,4,39000,5,3,0,0,2,0,0,0,0,0,0,2015/11/29,0
1000137,2015/12/3,92436,4,99,0,1801,0,5,5,2,31,1984/7/6,46206,1,540,5,540,4,1,7,900000,15,5,123,7000,4,3,0,0,1,2,2,0,0,0,0,2015/12/9,0
1000138,2015/12/5,144704,3,9,1,502,0,4190,5,2,41,1975/3/31,46214,1,140,1,140,2,1,4,2064000,112,5,191,17000,4,1,1,0,1,1,1,2,0,0,0,2016/7/5,0
1000139,2015/12/9,104643,5,99,0,1,383,383,5,1,22,1993/1/16,46203,1,540,5,540,4,1,4,1443000,43,4,5,35000,4,1,1,0,1,0,0,8,0,0,0,2015/12/9,0
1000140,2015/12/11,121931,4,99,0,1701,0,5,5,1,32,1983/7/9,46215,1,631,6,631,1,1,7,960000,79,8,242,0,4,4,0,0,1,0,0,0,3,9,0,2015/12/13,0
1000141,2015/12/13,152323,4,99,3,1701,383,383,5,1,27,1988/2/18,46203,1,640,6,640,4,1,7,1680000,40,4,249,0,4,3,0,0,1,0,0,0,0,0,0,2015/12/13,0
1000142,2015/12/13,172928,1,99,3,502,0,5,5,1,25,1984/7/17,46201,1,1140,11,1140,2,1,7,3600000,71,8,302,0,4,1,0,0,1,0,0,0,3,0,0,2015/12/14,1
1000143,2015/12/19,160154,5,99,1,1,1333,1333,5,1,34,1981/6/7,46218,2,503,5,503,2,1,7,2200000,125,4,70,0,1,1,0,0,1,1,0,0,0,0,0,2015/12/19,0
1000144,2015/12/29,131340,1,99,0,101,434,434,5,1,21,1994/9/30,46225,1,514,5,514,2,1,8,2911000,32,8,128,0,4,3,1,0,1,0,0,2,3,0,0,2015/12/29,0
1000145,2015/12/30,123141,1,99,0,1,5,5,5,1,45,1970/8/5,46201,2,140,1,140,2,1,7,3120000,62,4,80,50000,1,1,1,0,1,1,0,2,0,0,0,2015/12/30,1
1000146,2016/1/4,193928,1,99,0,1,2548,2548,5,1,31,1984/8/1,45201,1,640,6,640,2,1,7,5000000,171,7,41,0,5,1,0,0,2,0,0,0,0,0,0,2016/1/4,0
1000148,2016/1/6,103140,1,99,0,101,384,384,5,1,40,1975/6/6,46218,2,540,5,540,4,1,3,1000000,2,4,45,45000,2,1,0,0,1,2,1,0,0,0,0,2016/1/6,0
1000150,2016/1/12,193705,1,99,0,101,3152,3152,5,1,27,1988/8/28,46201,2,209,2,209,2,1,7,4000000,66,4,4,65000,2,3,0,0,1,2,1,0,0,0,0,2016/1/14,0
1000151,2016/1/14,180607,1,99,0,1701,0,5,5,2,43,1972/3/12,45201,2,140,1,140,2,1,7,2000000,35,4,46,68000,1,1,0,0,1,1,0,0,0,0,0,2016/1/15,0
1000152,2016/1/16,200313,3,9,1,1701,383,383,5,2,28,1987/8/13,46203,2,640,6,640,4,1,7,1920000,14,4,43,50000,3,3,0,0,1,4,3,0,0,0,0,2016/3/18,0
1000153,2016/1/18,133741,5,99,0,1,1414,1414,5,1,37,1978/7/31,46201,1,108,1,108,1,1,9,2500000,94,4,3,40000,5,4,0,0,2,0,0,0,0,9,0,2016/2/6,0
